"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4090",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",6426,74,6,5909,5034,18,30,14,1,25,18,1,0,4,347,3,2,342,1,NA,NA
"4091",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7020,74,6,6504,5623,19,29,14,1,24,18,0,1,4,348,4,1,343,1,NA,NA
"4092",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7146,72,5,6668,5786,19,29,15,0,24,17,0,1,4,312,4,2,306,1,NA,NA
"4093",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7230,70,6,6760,5882,18,29,15,1,23,17,0,1,4,304,4,2,298,2,NA,NA
"4094",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7251,72,6,6736,5863,18,30,14,1,24,17,1,0,5,347,4,1,342,2,NA,NA
"4095",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7396,70,6,6921,6045,18,29,16,0,24,18,0,1,4,310,4,1,305,2,NA,NA
"4096",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",21048,105,6,20526,19405,19,30,15,1,25,19,0,0,4,319,4,2,313,2,NA,NA
"4097",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",21060,109,6,20515,19371,20,29,15,1,26,20,0,1,4,337,4,2,331,1,NA,NA
"4098",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",21642,112,6,21065,19943,19,29,16,1,24,18,0,0,5,367,17,2,348,1,NA,NA
"4099",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",52467,165,6,51857,50334,19,29,16,1,26,20,0,0,5,345,4,2,339,1,1000000,"true"
"4100",32,19,4869,31,0,0,0,0,0,0,0,1,1,50,1000,1000,10,10,"false",4113,54,6,3638,2883,20,30,15,1,24,18,0,1,4,323,4,2,317,1,1000000,"true"
"4101",32,19,4869,31,0,0,0,0,0,0,0,18,18,50,500,500,10,10,"false",2878,37,6,2403,1687,18,30,15,1,25,19,0,1,4,342,5,1,336,1,NA,NA
"4102",32,19,4869,31,0,0,0,0,0,0,0,25,25,50,500,500,10,10,"false",2927,38,5,2432,1724,18,29,15,1,27,20,0,1,4,359,4,2,353,1,NA,NA
"4103",32,19,4869,31,0,0,0,0,0,0,0,164,164,50,200,200,10,10,"false",2256,58,8,1770,1092,18,29,14,1,25,19,0,1,4,331,4,2,325,1,NA,NA
"4104",32,19,4911,31,0,0,0,0,0,0,0,97,97,50,100,100,10,10,"false",2088,15,6,1624,899,18,29,15,1,24,18,0,1,4,353,4,2,347,1,NA,NA
"4105",32,19,4928,31,0,0,0,0,0,0,0,94,94,50,100,100,10,10,"false",2108,16,5,1646,918,18,30,15,1,26,19,0,1,4,347,3,2,342,1,NA,NA
"4106",32,19,4941,31,0,0,0,0,0,0,0,90,90,50,100,100,10,10,"false",2061,16,5,1594,871,19,29,15,1,24,18,0,1,4,355,4,2,349,1,NA,NA
"4107",32,19,4946,31,0,0,0,0,0,0,0,66,66,50,100,100,10,10,"false",2126,15,6,1669,939,19,29,15,1,25,19,0,1,4,345,4,2,339,1,NA,NA
"4108",32,19,4949,31,0,0,0,0,0,0,0,65,65,50,100,100,10,10,"false",2061,16,6,1602,877,18,30,15,0,25,18,1,0,4,347,4,1,342,1,NA,NA
"4109",32,19,4960,31,0,0,0,0,0,0,0,74,74,50,100,100,10,10,"false",2083,16,6,1629,897,19,30,15,1,24,17,1,0,5,340,4,1,335,1,NA,NA
